ALL Precision, Euclidean, Chebyshev, Manhattan, Cosine Similarity
k=3, 1.0, 1.0, 1.0, 1.0, 
k=5, 1.0, 1.0, 1.0, 1.0, 
k=7, 1.0, 1.0, 1.0, 1.0, 
k=9, 1.0, 1.0, 1.0, 1.0, 
k=11, 1.0, 1.0, 1.0, 1.0, 
ALL Recall, Euclidean, Chebyshev, Manhattan, Cosine Similarity
k=3, 1.0, 1.0, 1.0, 1.0, 
k=5, 1.0, 1.0, 1.0, 1.0, 
k=7, 1.0, 1.0, 1.0, 1.0, 
k=9, 1.0, 1.0, 1.0, 1.0, 
k=11, 1.0, 1.0, 1.0, 1.0, 
ALL F1 Measures, Euclidean, Chebyshev, Manhattan, Cosine Similarity
k=3, 1.0, 1.0, 1.0, 1.0, 
k=5, 1.0, 1.0, 1.0, 1.0, 
k=7, 1.0, 1.0, 1.0, 1.0, 
k=9, 1.0, 1.0, 1.0, 1.0, 
k=11, 1.0, 1.0, 1.0, 1.0, 
AML Precision, Euclidean, Chebyshev, Manhattan, Cosine Similarity
k=3, 0.0, 0.0, 0.0, 0.0, 
k=5, 0.0, 0.0, 0.0, 0.0, 
k=7, 0.0, 0.0, 0.0, 0.0, 
k=9, 0.0, 0.0, 0.0, 0.0, 
k=11, 0.0, 0.0, 0.0, 0.0, 
AML Recall, Euclidean, Chebyshev, Manhattan, Cosine Similarity
k=3, 0.0, 0.0, 0.0, 0.0, 
k=5, 0.0, 0.0, 0.0, 0.0, 
k=7, 0.0, 0.0, 0.0, 0.0, 
k=9, 0.0, 0.0, 0.0, 0.0, 
k=11, 0.0, 0.0, 0.0, 0.0, 
AML F1 Measures, Euclidean, Chebyshev, Manhattan, Cosine Similarity
k=3, 0.0, 0.0, 0.0, 0.0, 
k=5, 0.0, 0.0, 0.0, 0.0, 
k=7, 0.0, 0.0, 0.0, 0.0, 
k=9, 0.0, 0.0, 0.0, 0.0, 
k=11, 0.0, 0.0, 0.0, 0.0, 
